Número total de Estabelecimentos ou Unidades Locais - Industria
Sigla,Código,Município,1970,1975,1980,1985,1995,
MG,3101003,Águas Vermelhas,1,,3,2,10,
MG,3101102,Aimorés,66,39,34,34,34,
MG,3101201,Aiuruoca,17,14,14,18,12,
MG,3101300,Alagoa,10,10,17,10,6,
MG,3101409,Albertina,2,4,4,2,12,
MG,3101508,Além Paraíba,64,50,72,56,84,
MG,3101607,Alfenas,82,98,106,101,247,
MG,3101631,Alfredo Vasconcelos,,,,,6,
MG,3101706,Almenara,18,21,30,27,27,
MG,3101805,Alpercata,4,,3,7,12,
MG,3101904,Alpinópolis,28,16,25,33,112,
MG,3102001,Alterosa,23,22,31,28,27,
MG,3102050,Alto Caparaó,,,,,,
MG,3102100,Alto Rio Doce,13,24,30,22,17,
MG,3102209,Alvarenga,10,2,,1,1,
MG,3102308,Alvinópolis,21,18,16,12,26,
MG,3102407,Alvorada de Minas,14,2,1,,1,
MG,3102506,Amparo do Serra,11,1,4,3,0,
MG,3102605,Andradas,94,96,157,106,239,
MG,3102704,Cachoeira de Pajeú,2,1,1,2,10,
MG,3102803,Andrelândia,38,25,32,22,28,
MG,3102852,Angelândia,,,,,,
MG,3102902,Antônio Carlos,22,14,9,8,25,
MG,3103009,Antônio Dias,6,6,4,1,4,
MG,3103108,Antônio Prado de Minas,2,3,2,4,5,
MG,3103207,Araçaí,4,6,3,1,3,
MG,3103306,Aracitaba,3,2,2,3,0,
MG,3103405,Araçuaí,31,31,36,20,51,
MG,3103504,Araguari,121,147,221,163,333,
MG,3103603,Arantina,3,5,5,2,9,
MG,3103702,Araponga,8,3,2,,2,
MG,3103751,Araporã,,,,,12,
MG,3103801,Arapuá,3,1,2,2,2,
MG,3103900,Araújos,18,12,18,26,89,
MG,3104007,Araxá,81,97,99,90,267,
MG,3104106,Arceburgo,12,12,12,13,21,
MG,3104205,Arcos,36,63,73,64,158,
MG,3104304,Areado,23,19,24,27,65,
MG,3104403,Argirita,12,9,12,14,11,
MG,3104452,Aricanduva,,,,,,
MG,3104502,Arinos,4,6,19,14,18,
MG,3104601,Astolfo Dutra,25,20,32,20,72,
MG,3104700,Ataléia,12,16,11,12,8,
MG,3104809,Augusto de Lima,1,5,8,5,12,
MG,3104908,Baependi,19,28,38,55,88,
MG,3105004,Baldim,16,16,7,12,28,
MG,3105103,Bambuí,40,44,42,48,58,
MG,3105202,Bandeira,7,2,,,2,
MG,3105301,Bandeira do Sul,19,18,17,10,19,
MG,3105400,Barão de Cocais,20,14,41,27,67,
MG,3105509,Barão de Monte Alto,15,10,13,9,12,
MG,3105608,Barbacena,105,124,126,132,338,
MG,3105707,Barra Longa,7,5,5,8,11,
MG,3105905,Barroso,29,35,59,60,82,
MG,3106002,Bela Vista de Minas,6,4,5,7,13,
MG,3106101,Belmiro Braga,4,5,8,3,14,
MG,3106200,Belo Horizonte,1886,2094,3831,3557,8081,
MG,3106309,Belo Oriente,8,2,15,19,26,
MG,3106408,Belo Vale,13,7,6,4,22,
MG,3106507,Berilo,2,3,2,8,9,
MG,3106606,Bertópolis,2,1,3,3,5,
MG,3106655,Berizal,,,,,,
MG,3106705,Betim,71,120,183,171,570,
MG,3106804,Bias Fortes,8,7,6,8,13,
MG,3106903,Bicas,37,35,40,41,71,
MG,3107000,Biquinhas,,1,2,3,10,
MG,3107109,Boa Esperança,36,35,47,35,63,
MG,3107208,Bocaina de Minas,10,10,22,11,11,
MG,3107307,Bocaiúva,21,35,53,39,103,
MG,3107406,Bom Despacho,27,31,47,55,143,
MG,3107505,Bom Jardim de Minas,11,12,13,13,31,
MG,3107604,Bom Jesus da Penha,3,5,7,4,8,
MG,3107703,Bom Jesus do Amparo,2,6,9,6,8,
MG,3107802,Bom Jesus do Galho,13,10,13,7,9,
MG,3107901,Bom Repouso,3,6,8,6,12,
MG,3108008,Bom Sucesso,15,20,24,19,30,
MG,3108107,Bonfim,8,9,8,12,20,
MG,3108206,Bonfinópolis de Minas,6,18,9,11,15,
MG,3108255,Bonito de Minas,,,,,,
MG,3108305,Borda da Mata,19,34,59,36,133,
MG,3108404,Botelhos,12,15,17,7,43,
MG,3108503,Botumirim,,,1,,6,
MG,3108552,Brasilândia de Minas,,,,,,
MG,3108602,Brasília de Minas,25,19,18,11,33,
MG,3108701,Brás Pires,1,2,3,2,11,
MG,3108800,Braúnas,,1,1,3,1,
MG,3108909,Brasópolis,30,21,30,25,60,
MG,3109006,Brumadinho,24,22,30,24,82,
MG,3109105,Bueno Brandão,12,12,12,16,35,
MG,3109204,Buenópolis,8,10,13,11,23,
MG,3109253,Bugre,,,,,,
MG,3109303,Buritis,4,7,15,21,25,
MG,3109402,Buritizeiro,2,4,6,6,14,
MG,3109451,Cabeceira Grande,,,,,,
MG,3109501,Cabo Verde,11,11,14,16,32,
MG,3109600,Cachoeira da Prata,4,4,8,5,17,
MG,3109709,Cachoeira de Minas,34,31,37,32,67,
MG,3109808,Cachoeira Dourada,2,3,3,2,2,
MG,3109907,Caetanópolis,6,12,14,15,25,
MG,3110004,Caeté,35,26,42,38,64,
MG,3110103,Caiana,8,7,8,4,5,
MG,3110202,Cajuri,6,6,4,6,5,
MG,3110301,Caldas,42,40,63,56,102,
MG,3110400,Camacho,1,,1,2,16,
MG,3110509,Camanducaia,17,18,28,35,76,
MG,3110608,Cambuí,27,35,58,59,121,
MG,3110707,Cambuquira,21,27,20,17,45,
MG,3110806,Campanário,4,3,4,4,5,
MG,3110905,Campanha,27,19,35,31,88,
MG,3111002,Campestre,27,21,47,15,81,
MG,3111101,Campina Verde,19,18,31,34,56,
MG,3111150,Campo Azul,,,,,,
MG,3111200,Campo Belo,113,115,132,136,193,
MG,3111309,Campo do Meio,13,16,17,17,19,
MG,3111408,Campo Florido,6,7,6,2,5,
MG,3111507,Campos Altos,17,21,27,16,36,
MG,3111606,Campos Gerais,29,75,33,19,50,
MG,3111705,Canaã,4,3,2,1,3,
MG,3111804,Canápolis,13,14,11,13,23,
MG,3111903,Cana Verde,8,15,15,6,7,
MG,3112000,Candeias,10,20,16,21,74,
MG,3112059,Cantagalo,,,,,,
MG,3112109,Caparaó,7,8,7,5,10,
MG,3112208,Capela Nova,6,6,5,3,6,
MG,3112307,Capelinha,10,11,18,15,56,
MG,3112406,Capetinga,15,13,29,19,21,
MG,3112505,Capim Branco,,3,6,6,14,
MG,3112604,Capinópolis,18,20,18,15,39,
MG,3112653,Capitão Andrade,,,,,4,
MG,3112703,Capitão Enéas,6,8,6,3,10,
MG,3112802,Capitólio,11,17,21,22,72,
MG,3112901,Caputira,5,7,6,6,8,
MG,3113008,Caraí,2,,7,5,6,
MG,3113107,Caranaíba,3,7,5,2,1,
MG,3113206,Carandaí,14,16,40,18,32,
MG,3113305,Carangola,86,81,84,83,137,
MG,3113404,Caratinga,127,89,136,127,161,
MG,3113503,Carbonita,,1,3,4,18,
MG,3113602,Careaçu,9,20,17,21,35,
MG,3113701,Carlos Chagas,16,15,24,18,25,
MG,3113800,Carmésia,1,2,,1,0,
MG,3113909,Carmo da Cachoeira,11,20,13,5,20,
MG,3114006,Carmo da Mata,19,23,19,21,39,
MG,3114105,Carmo de Minas,12,7,8,17,25,
MG,3114204,Carmo do Cajuru,28,31,52,45,127,
MG,3114303,Carmo do Paranaíba,45,79,58,42,64,
MG,3114402,Carmo do Rio Claro,14,24,31,37,63,
MG,3114501,Carmópolis de Minas,13,20,24,42,44,
MG,3114550,Carneirinho,,,,,23,
MG,3114600,Carrancas,11,7,6,4,7,
MG,3114709,Carvalhópolis,16,10,5,3,18,
MG,3114808,Carvalhos,7,12,10,11,19,
MG,3114907,Casa Grande,3,3,,1,3,
MG,3115003,Cascalho Rico,4,6,5,2,6,
MG,3115102,Cássia,49,59,83,71,127,
MG,3115201,Conceição da Barra de Minas,5,4,2,2,3,
MG,3115300,Cataguases,154,111,146,146,265,
MG,3115359,Catas Altas,,,,,,
MG,3115409,Catas Altas da Noruega,3,2,1,,4,
MG,3115458,Catuji,,,,,1,
MG,3115474,Catuti,,,,,,
MG,3115508,Caxambu,39,33,38,25,69,
MG,3115607,Cedro do Abaeté,2,2,,,6,
MG,3115706,Central de Minas,4,8,8,12,17,
MG,3115805,Centralina,11,11,10,15,13,
MG,3115904,Chácara,12,8,3,3,6,
MG,3116001,Chalé,10,13,4,,6,
MG,3116100,Chapada do Norte,1,3,1,1,8,
MG,3116159,Chapada Gaúcha,,,,,,
MG,3116209,Chiador,7,4,5,3,3,
MG,3116308,Cipotânea,3,4,4,1,7,
MG,3116407,Claraval,4,5,2,3,10,
MG,3116506,Claro dos Poções,4,2,3,3,4,
MG,3116605,Cláudio,21,38,52,70,127,
MG,3116704,Coimbra,9,6,8,12,14,
MG,3116803,Coluna,1,3,1,4,8,
MG,3116902,Comendador Gomes,3,,3,1,2,
MG,3117009,Comercinho,,1,6,5,10,
MG,3117108,Conceição da Aparecida,23,33,19,15,25,
MG,3117207,Conceição das Pedras,4,3,5,3,6,
MG,3117306,Conceição das Alagoas,90,143,133,162,40,
MG,3117405,Conceição de Ipanema,6,3,3,3,4,
MG,3117504,Conceição do Mato Dentro,7,21,22,18,20,
MG,3117603,Conceição do Pará,6,7,5,10,15,
MG,3117702,Conceição do Rio Verde,20,23,21,10,24,
MG,3117801,Conceição dos Ouros,43,38,44,41,121,
MG,3117836,Cônego Marinho,,,,,,
MG,3117876,Confins,,,,,,
MG,3117900,Congonhal,23,14,21,16,50,
MG,3118007,Congonhas,21,13,45,23,80,
MG,3118106,Congonhas do Norte,,,1,4,2,
MG,3118205,Conquista,14,10,20,18,15,
MG,3118304,Conselheiro Lafaiete,90,100,141,106,199,
MG,3118403,Conselheiro Pena,47,20,45,52,55,
MG,3118502,Consolação,2,3,3,2,31,
MG,3118601,Contagem,182,320,575,627,1730,
MG,3118700,Coqueiral,12,27,13,6,23,
MG,3118809,Coração de Jesus,13,9,11,7,20,
MG,3118908,Cordisburgo,2,7,5,10,12,
MG,3119005,Cordislândia,,2,1,1,6,
MG,3119104,Corinto,11,18,23,23,73,
MG,3119203,Coroaci,11,5,1,11,11,
MG,3119302,Coromandel,7,47,41,42,69,
MG,3119401,Coronel Fabriciano,50,65,95,68,161,
MG,3119500,Coronel Murta,3,4,1,7,17,
MG,3119609,Coronel Pacheco,4,3,3,2,5,
MG,3119708,Coronel Xavier Chaves,11,7,3,7,8,
MG,3119807,Córrego Danta,3,8,10,6,1,
MG,3119906,Córrego do Bom Jesus,2,1,6,7,8,
MG,3119955,Córrego Fundo,,,,,,
MG,3120003,Córrego Novo,6,1,1,2,3,
MG,3120102,Couto de Magalhães de Minas,1,2,2,1,10,
MG,3120151,Crisólita,,,,,,
MG,3120201,Cristais,12,19,21,12,46,
MG,3120300,Cristália,,,2,,4,
MG,3120409,Cristiano Otoni,9,5,9,10,17,
MG,3120508,Cristina,18,14,13,8,32,
MG,3120607,Crucilândia,7,11,8,10,7,
MG,3120706,Cruzeiro da Fortaleza,4,4,5,4,5,
MG,3120805,Cruzília,9,18,38,49,59,
MG,3120839,Cuparaque,,,,,,
MG,3120870,Curral de Dentro,,,,,,
MG,3120904,Curvelo,57,96,113,88,242,
MG,3121001,Datas,4,,,2,6,
MG,3121100,Delfim Moreira,22,18,19,17,37,
MG,3121209,Delfinópolis,7,4,7,5,10,
MG,3121258,Delta,,,,,,
MG,3121308,Descoberto,5,14,16,11,34,
MG,3121407,Desterro de Entre Rios,13,20,2,5,4,
MG,3121506,Desterro do Melo,5,2,10,11,13,
MG,3121605,Diamantina,31,35,42,31,101,
MG,3121704,Diogo de Vasconcelos,2,1,,,2,
MG,3121803,Dionísio,6,5,4,4,9,
MG,3121902,Divinésia,10,8,6,12,14,
MG,3122009,Divino,15,20,25,26,37,
MG,3122108,Divino das Laranjeiras,5,4,4,3,7,
MG,3122207,Divinolândia de Minas,7,2,4,3,3,
MG,3122306,Divinópolis,216,335,397,433,1553,
MG,3122355,Divisa Alegre,,,,,,
MG,3122405,Divisa Nova,10,12,7,5,16,
MG,3122454,Divisópolis,,,,,10,
MG,3122470,Dom Bosco,,,,,,
MG,3122504,Dom Cavati,4,3,8,4,13,
MG,3122603,Dom Joaquim,7,13,7,8,7,
MG,3122702,Dom Silvério,23,19,17,14,25,
MG,3122801,Dom Viçoso,2,5,6,6,1,
MG,3122900,Dona Eusébia,14,16,11,8,15,
MG,3123007,Dores de Campos,54,45,52,86,108,
MG,3123106,Dores de Guanhães,,,,,1,
MG,3123205,Dores do Indaiá,55,34,47,38,92,
MG,3123304,Dores do Turvo,2,2,3,2,5,
MG,3123403,Doresópolis,1,,2,2,3,
MG,3123502,Douradoquara,6,5,6,8,4,
MG,3123528,Durandé,,,,,5,
MG,3123601,Elói Mendes,35,33,47,44,59,
MG,3123700,Engenheiro Caldas,12,6,9,19,16,
MG,3123809,Engenheiro Navarro,1,2,5,4,10,
MG,3123858,Entre Folhas,,,,,2,
MG,3123908,Entre Rios de Minas,15,15,26,20,28,
MG,3124005,Ervália,24,20,8,30,50,
MG,3124104,Esmeraldas,14,22,28,14,76,
MG,3124203,Espera Feliz,43,46,39,37,58,
MG,3124302,Espinosa,12,21,18,17,40,
MG,3124401,Espírito Santo do Dourado,7,5,3,4,8,
MG,3124500,Estiva,41,29,30,88,31,
MG,3124609,Estrela Dalva,3,3,3,1,4,
MG,3124708,Estrela do Indaiá,12,17,4,4,12,
MG,3124807,Estrela do Sul,9,8,12,4,12,
MG,3124906,Eugenópolis,10,21,21,18,67,
MG,3125002,Ewbank da Câmara,6,4,6,3,8,
MG,3125101,Extrema,30,50,96,41,94,
MG,3125200,Fama,1,4,1,1,0,
MG,3125309,Faria Lemos,16,9,8,9,14,
MG,3125408,Felício dos Santos,,,,2,4,
MG,3125507,São Gonçalo do Rio Preto,,,,,2,
MG,3125606,Felisburgo,6,3,,1,5,
MG,3125705,Felixlândia,9,3,6,22,53,
MG,3125804,Fernandes Tourinho,5,2,,1,5,
MG,3125903,Ferros,1,12,9,2,14,
MG,3125952,Fervedouro,,,,,10,
MG,3126000,Florestal,5,10,10,2,4,
MG,3126109,Formiga,147,179,192,174,403,
MG,3126208,Formoso,,,5,1,9,
MG,3126307,Fortaleza de Minas,4,6,11,3,16,
MG,3126406,Fortuna de Minas,2,,,,15,
MG,3126505,Francisco Badaró,5,7,4,8,10,
MG,3126604,Francisco Dumont,1,,1,,4,
MG,3126703,Francisco Sá,10,17,18,15,30,
MG,3126752,Franciscópolis,,,,,,
MG,3126802,Frei Gaspar,3,5,3,,3,
MG,3126901,Frei Inocêncio,5,5,6,5,14,
MG,3126950,Frei Lagonegro,,,,,,
MG,3127008,Fronteira,18,8,11,8,10,
MG,3127057,Fronteira dos Vales,1,1,1,,1,
MG,3127073,Fruta de Leite,,,,,,
MG,3127107,Frutal,51,43,70,63,124,
MG,3127206,Funilândia,2,1,1,2,7,
MG,3127305,Galiléia,11,5,25,7,12,
MG,3127339,Gameleiras,,,,,,
MG,3127354,Glaucilândia,,,,,,
MG,3127370,Goiabeira,,,,,,
MG,3127388,Goianá,,,,,,
MG,3127404,Gonçalves,9,9,13,7,12,
MG,3127503,Gonzaga,,,,,0,
MG,3127602,Gouveia,10,8,18,19,46,
MG,3127701,Governador Valadares,273,277,398,413,657,
MG,3127800,Grão Mogol,2,2,7,4,11,
MG,3127909,Grupiara,1,3,3,2,2,
MG,3128006,Guanhães,27,37,22,33,47,
MG,3128105,Guapé,11,16,15,14,34,
MG,3128204,Guaraciaba,9,4,6,3,14,
MG,3128253,Guaraciama,,,,,,
MG,3128303,Guaranésia,29,31,26,22,50,
MG,3128402,Guarani,20,14,20,14,40,
MG,3128501,Guarará,8,4,3,7,24,
MG,3128600,Guarda-Mor,3,7,5,8,9,
MG,3128709,Guaxupé,105,92,75,69,326,
MG,3128808,Guidoval,11,13,10,14,55,
MG,3128907,Guimarânia,16,22,21,22,25,
MG,3129004,Guiricema,19,20,8,19,19,
MG,3129103,Gurinhatã,4,14,9,7,8,
MG,3129202,Heliodora,23,17,13,8,28,
MG,3129301,Iapu,8,2,5,7,4,
MG,3129400,Ibertioga,8,8,6,6,17,
MG,3129509,Ibiá,15,34,30,23,43,
MG,3129608,Ibiaí,,,4,1,1,
MG,3129657,Ibiracatu,,,,,,
MG,3129707,Ibiraci,12,10,8,5,10,
MG,3129806,Ibirité,12,10,24,27,117,
MG,3129905,Ibitiúra de Minas,6,8,9,14,39,
MG,3130002,Ibituruna,4,5,4,6,6,
MG,3130051,Icaraí de Minas,,,,,3,
MG,3130101,Igarapé,19,22,32,44,97,
MG,3130200,Igaratinga,51,51,82,43,109,
MG,3130309,Iguatama,9,9,12,10,27,
MG,3130408,Ijaci,16,16,19,13,22,
MG,3130507,Ilicínea,11,22,15,10,26,
MG,3130556,Imbé de Minas,,,,,,
MG,3130606,Inconfidentes,13,12,26,20,58,
MG,3130655,Indaiabira,,,,,,
MG,3130705,Indianópolis,6,3,3,12,2,
MG,3130804,Ingaí,4,2,1,3,6,
MG,3130903,Inhapim,36,16,25,21,78,
MG,3131000,Inhaúma,4,7,11,12,24,
MG,3131109,Inimutaba,1,6,4,6,9,
MG,3131158,Ipaba,,,,,3,
MG,3131208,Ipanema,30,37,29,31,55,
MG,3131307,Ipatinga,44,102,166,170,380,
MG,3131406,Ipiaçu,10,16,10,6,4,
MG,3131505,Ipuiúna,7,7,7,4,24,
MG,3131604,Iraí de Minas,,5,4,2,12,
MG,3131703,Itabira,52,46,64,75,244,
MG,3131802,Itabirinha de Mantena,11,10,15,8,14,
MG,3131901,Itabirito,51,65,71,55,106,
MG,3132008,Itacambira,,,,,3,
MG,3132107,Itacarambi,2,3,5,5,16,
MG,3132206,Itaguara,17,20,33,27,59,
MG,3132305,Itaipé,6,3,5,2,5,
MG,3132404,Itajubá,114,140,144,141,305,
MG,3132503,Itamarandiba,19,11,13,22,49,
MG,3132602,Itamarati de Minas,11,7,5,7,29,
MG,3132701,Itambacuri,18,12,31,33,30,
MG,3132800,Itambé do Mato Dentro,2,,1,,1,
MG,3132909,Itamogi,11,19,14,6,22,
MG,3133006,Itamonte,20,23,33,26,72,
MG,3133105,Itanhandu,23,26,43,48,82,
MG,3133204,Itanhomi,23,21,19,22,16,
MG,3133303,Itaobim,11,9,14,15,40,
MG,3133402,Itapagipe,15,15,18,12,34,
MG,3133501,Itapecerica,21,32,43,28,83,
MG,3133600,Itapeva,5,6,13,16,25,
MG,3133709,Itatiaiuçu,17,14,18,12,17,
MG,3133758,Itaú de Minas,,,,,90,
MG,3133808,Itaúna,119,166,177,191,348,
MG,3133907,Itaverava,,2,9,3,9,
MG,3134004,Itinga,6,2,16,6,13,
MG,3134103,Itueta,20,8,8,3,6,
MG,3134202,Ituiutaba,120,164,178,165,241,
MG,3134301,Itumirim,6,6,8,6,12,
MG,3134400,Iturama,122,131,114,60,67,
MG,3134509,Itutinga,8,5,4,4,9,
MG,3134608,Jaboticatubas,12,12,10,6,25,
MG,3134707,Jacinto,4,5,5,8,4,
MG,3134806,Jacuí,8,5,14,11,18,
MG,3134905,Jacutinga,34,34,76,98,445,
MG,3135001,Jaguaraçu,,,2,1,3,
MG,3135050,Jaíba,,,,,18,
MG,3135076,Jampruca,,,,,6,
MG,3135100,Janaúba,22,22,74,66,110,
MG,3135209,Januária,44,69,41,103,91,
MG,3135308,Japaraíba,4,3,6,4,13,
MG,3135357,Japonvar,,,,,,
MG,3135407,Jeceaba,4,4,7,2,7,
MG,3135456,Jenipapo de Minas,,,,,,
MG,3135506,Jequeri,8,9,16,8,10,
MG,3135605,Jequitaí,1,,2,7,7,
MG,3135704,Jequitibá,4,2,6,4,13,
MG,3135803,Jequitinhonha,8,11,13,16,17,
MG,3135902,Jesuânia,10,5,4,6,13,
MG,3136009,Joaíma,7,7,18,8,13,
MG,3136108,Joanésia,,,2,5,2,
MG,3136207,João Monlevade,73,73,79,93,181,
MG,3136306,João Pinheiro,39,42,67,46,101,
MG,3136405,Joaquim Felício,3,3,11,,15,
MG,3136504,Jordânia,4,16,4,4,4,
MG,3136520,José Gonçalves de Minas,,,,,,
MG,3136553,José Raydan,,,,,,
MG,3136579,Josenópolis,,,,,,
MG,3136603,Nova União,2,5,7,4,9,
MG,3136652,Juatuba,,,,,24,
MG,3136702,Juiz de Fora,696,672,1022,856,1983,
MG,3136801,Juramento,1,,1,1,3,
MG,3136900,Juruaia,16,13,13,11,39,
MG,3136959,Juvenília,,,,,,
MG,3137007,Ladainha,5,5,9,16,11,
MG,3137106,Lagamar,8,8,15,10,10,
MG,3137205,Lagoa da Prata,46,49,66,65,126,
MG,3137304,Lagoa dos Patos,,,,,1,
MG,3137403,Lagoa Dourada,17,14,10,28,14,
MG,3137502,Lagoa Formosa,19,16,33,34,40,
MG,3137536,Lagoa Grande,,,,,9,
MG,3137601,Lagoa Santa,13,19,34,33,105,
MG,3137700,Lajinha,5,15,22,13,22,
MG,3137809,Lambari,37,37,47,30,82,
MG,3137908,Lamim,4,2,8,9,6,
MG,3138005,Laranjal,9,14,21,21,21,
MG,3138104,Lassance,,,1,2,7,
MG,3138203,Lavras,75,79,132,141,249,
MG,3138302,Leandro Ferreira,7,4,6,3,18,
MG,3138351,Leme do Prado,,,,,,
MG,3138401,Leopoldina,70,64,94,85,141,
MG,3138500,Liberdade,12,12,19,13,18,
MG,3138609,Lima Duarte,25,17,24,26,51,
MG,3138625,Limeira do Oeste,,,,,15,
MG,3138658,Lontra,,,,,4,
MG,3138674,Luisburgo,,,,,,
MG,3138682,Luislândia,,,,,,
MG,3138708,Luminárias,6,17,26,34,31,
MG,3138807,Luz,40,34,33,33,60,
MG,3138906,Machacalis,2,1,3,3,4,
MG,3139003,Machado,49,54,66,51,108,
MG,3139102,Madre de Deus de Minas,7,6,4,4,8,
MG,3139201,Malacacheta,4,17,29,16,18,
MG,3139250,Mamonas,,,,,0,
MG,3139300,Manga,8,10,26,17,25,
MG,3139409,Manhuaçu,91,97,90,82,163,
MG,3139508,Manhumirim,49,54,47,39,51,
MG,3139607,Mantena,43,70,52,48,67,
MG,3139706,Maravilhas,4,7,13,6,39,
MG,3139805,Mar de Espanha,26,27,27,27,66,
MG,3139904,Maria da Fé,14,16,14,10,31,
MG,3140001,Mariana,15,16,30,20,66,
MG,3140100,Marilac,,2,1,1,0,
MG,3140159,Mário Campos,,,,,,
MG,3140209,Maripá de Minas,13,6,8,8,12,
MG,3140308,Marliéria,6,1,1,1,1,
MG,3140407,Marmelópolis,12,12,9,6,13,
MG,3140506,Martinho Campos,11,8,13,19,60,
MG,3140530,Martins Soares,,,,,,
MG,3140555,Mata Verde,,,,,4,
MG,3140605,Materlândia,1,,3,5,1,
MG,3140704,Mateus Leme,16,25,35,27,74,
MG,3140803,Matias Barbosa,28,23,23,23,37,
MG,3140852,Matias Cardoso,,,,,5,
MG,3140902,Matipó,32,10,15,11,18,
MG,3141009,Mato Verde,5,6,12,12,17,
MG,3141108,Matozinhos,17,30,39,39,139,
MG,3141207,Matutina,5,13,8,9,14,
MG,3141306,Medeiros,1,5,4,1,0,
MG,3141405,Medina,10,11,14,14,33,
MG,3141504,Mendes Pimentel,17,11,8,12,15,
MG,3141603,Mercês,17,11,14,14,33,
MG,3141702,Mesquita,6,7,23,14,3,
MG,3141801,Minas Novas,19,12,7,19,31,
MG,3141900,Minduri,10,11,6,8,4,
MG,3142007,Mirabela,4,9,12,2,5,
MG,3142106,Miradouro,12,9,10,11,11,
MG,3142205,Miraí,30,30,32,24,54,
MG,3142254,Miravânia,,,,,,
MG,3142304,Moeda,12,9,6,5,13,
MG,3142403,Moema,22,11,11,8,33,
MG,3142502,Monjolos,1,1,3,2,8,
MG,3142601,Monsenhor Paulo,12,11,25,16,32,
MG,3142700,Montalvânia,8,6,23,14,15,
MG,3142809,Monte Alegre de Minas,29,21,26,20,37,
MG,3142908,Monte Azul,2,6,33,22,19,
MG,3143005,Monte Belo,16,18,28,23,33,
MG,3143104,Monte Carmelo,78,92,104,77,146,
MG,3143153,Monte Formoso,,,,,,
MG,3143203,Monte Santo de Minas,60,32,37,28,63,
MG,3143302,Montes Claros,102,165,262,283,602,
MG,3143401,Monte Sião,24,17,44,96,399,
MG,3143450,Montezuma,,,,,16,
MG,3143500,Morada Nova de Minas,3,8,3,3,21,
MG,3143609,Morro da Garça,2,1,4,2,2,
MG,3143708,Morro do Pilar,7,5,3,3,4,
MG,3143807,Munhoz,5,5,6,6,7,
MG,3143906,Muriaé,170,185,198,210,606,
MG,3144003,Mutum,17,34,38,33,45,
MG,3144102,Muzambinho,25,27,46,41,89,
MG,3144201,Nacip Raydan,5,1,4,4,5,
MG,3144300,Nanuque,42,50,53,49,70,
MG,3144359,Naque,,,,,,
MG,3144375,Natalândia,,,,,,
MG,3144409,Natércia,8,6,10,8,19,
MG,3144508,Nazareno,13,11,12,8,14,
MG,3144607,Nepomuceno,96,42,20,16,32,
MG,3144656,Ninheira,,,,,,
MG,3144672,Nova Belém,,,,,,
MG,3144706,Nova Era,19,16,21,17,55,
MG,3144805,Nova Lima,39,45,48,50,141,
MG,3144904,Nova Módica,11,1,2,3,3,
MG,3145000,Nova Ponte,9,11,13,12,17,
MG,3145059,Nova Porteirinha,,,,,,
MG,3145109,Nova Resende,13,11,24,17,23,
MG,3145208,Nova Serrana,75,115,151,277,746,
MG,3145307,Novo Cruzeiro,14,21,12,19,10,
MG,3145356,Novo Oriente de Minas,,,,,,
MG,3145372,Novorizonte,,,,,,
MG,3145406,Olaria,3,3,1,3,2,
MG,3145455,Olhos-d'Água,,,,,,
MG,3145505,Olímpio Noronha,7,11,9,5,7,
MG,3145604,Oliveira,48,55,87,106,127,
MG,3145703,Oliveira Fortes,5,1,3,3,7,
MG,3145802,Onça de Pitangui,3,4,4,1,5,
MG,3145851,Oratórios,,,,,,
MG,3145877,Orizânia,,,,,,
MG,3145901,Ouro Branco,8,6,11,23,83,
MG,3146008,Ouro Fino,53,50,66,54,187,
MG,3146107,Ouro Preto,84,110,108,113,149,
MG,3146206,Ouro Verde de Minas,11,10,10,13,4,
MG,3146255,Padre Carvalho,,,,,,
MG,3146305,Padre Paraíso,1,1,5,10,13,
MG,3146404,Paineiras,3,2,6,19,22,
MG,3146503,Pains,19,22,30,34,47,
MG,3146552,Pai Pedro,,,,,,
MG,3146602,Paiva,7,1,2,1,3,
MG,3146701,Palma,21,26,19,15,23,
MG,3146750,Palmópolis,,,,,1,
MG,3146909,Papagaios,8,10,18,41,288,
MG,3147006,Paracatu,37,47,67,67,131,
MG,3147105,Pará de Minas,103,128,147,110,302,
MG,3147204,Paraguaçu,27,33,38,27,69,
MG,3147303,Paraisópolis,37,43,35,34,61,
MG,3147402,Paraopeba,12,25,26,42,107,
MG,3147501,Passabém,,,,2,1,
MG,3147600,Passa Quatro,29,28,37,33,86,
MG,3147709,Passa Tempo,20,19,14,65,30,
MG,3147808,Passa-Vinte,1,3,6,3,6,
MG,3147907,Passos,92,115,172,171,430,
MG,3147956,Patis,,,,,,
MG,3148004,Patos de Minas,159,168,190,211,415,
MG,3148103,Patrocínio,66,90,97,94,161,
MG,3148202,Patrocínio do Muriaé,14,12,13,16,30,
MG,3148301,Paula Cândido,13,20,19,21,20,
MG,3148400,Paulistas,,2,,4,3,
MG,3148509,Pavão,,1,4,6,10,
MG,3148608,Peçanha,15,6,15,8,14,
MG,3148707,Pedra Azul,30,17,22,19,32,
MG,3148756,Pedra Bonita,,,,,,
MG,3148806,Pedra do Anta,6,,2,2,5,
MG,3148905,Pedra do Indaiá,6,6,6,10,12,
MG,3149002,Pedra Dourada,5,3,1,,4,
MG,3149101,Pedralva,29,32,32,25,42,
MG,3149150,Pedras de Maria da Cruz,,,,,1,
MG,3149200,Pedrinópolis,7,2,6,7,5,
